,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
116,LITH03626751-SXB04703,Rhyolite,Rock,-31.35,119.42,402,0.0,0.0,Unknown,Glendower,Target 11,0.68,0.26,1.09,46.47,0.1,0.62,50.46,117.34,200.0,0.23,2.09,,0.78,240.35,,0.73,3.45,122.0,3.08,,,7.26,0.1,0.73,0.12,,0.0,,,1.25,1.57,0.0,0.02,75.85,0.04,1.1,0.56,1.12,0.09,0.01,9.12,9.83,1.41,0.79
117,LITH03626751-BSD091B-365.55,Dacite,Rock,-30.39,121.63,376,-366.0,-366.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,148.01,,,4.0,6.21,,,,,,97.29,14.49,,,48.0,,183.2,425.41,5.17,,,,,,,,,15.0,,0.23,70.29,0.009315573,1.8,0.66,0.13,1.86,0.006958812,1.08,16.54,5.74,1.61
119,LITH03626751-AMP-HM-120525-024A,Basalt,Rock,-22.734913,117.87104,696,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",1.34,0.68,1.95,31.23,0.28,1.65,82.24,110.15,100.0,0.43,1.76,0.0,1.25,204.05,10.82,1.1,4.68,413.0,3.53,180.62,81.72,55.44,0.19,0.72,0.17,,1.04,33.31,,0.18,1.45,0.2,0.04,49.19,0.19,11.74,0.66,1.14,0.43,0.06,9.25,16.27,1.57,9.46
122,LITH03626751-EG 4515,Dolerite,Rock,-30.78,121.51,280,-588.0,-588.0,Unknown,Golden Mile Dolerite,unit5,2.07,0.77,3.21,45.91,0.52,2.51,78.59,28.54,300.0,0.69,2.58,,1.93,273.94,20.09,2.02,7.52,56.0,6.39,76.0,24.92,41.46,0.3,1.19,0.29,,1.12,,,0.22,1.9,0.11,0.07,52.46,0.16,9.94,0.79,1.17,0.2,0.008204558,9.49,15.39,3.43,6.83
123,LITH03626751-AMP-HM-120525-029H,Basalt,Rock,-22.610527,117.91678,861,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",3.95,1.12,6.31,169.89,1.0,5.93,88.59,73.53,100.0,1.33,29.39,0.0,3.66,196.99,34.08,6.11,60.66,93.0,27.62,258.49,1445.48,47.66,0.55,7.03,0.52,,4.79,29.18,,9.18,10.84,0.93,0.15,56.05,0.15,6.18,0.99,1.05,3.45,0.01,8.52,15.71,1.84,5.86
125,LITH03626751-BSD057-190.20,Dacite,Rock,-30.39,121.63,376,-190.0,-190.0,Unknown,Black Swan,"Cygnet, lower felsics",,,,200.31,,,33.0,32.75,900.0,,,,,74.69,19.23,,,36.0,,899.71,1101.15,15.81,,,,,,,,,11.0,,0.39,65.4,0.1,7.86,0.56,0.38,1.43,0.005292943,3.12,15.33,1.91,3.46
128,LITH03626751-BSD098H-527.0,Dolerite,Rock,-30.39,121.63,376,-527.0,-527.0,Unknown,Black Swan,Gosling Frac Unit,,,,101.18,,,128.0,7.54,,,,621.8,,251.89,19.37,,,,,10.76,,34.48,,,,,,,,,,,0.13,54.82,0.07,0.2,1.05,1.34,0.07,0.00645063,10.89,17.54,0.04,13.81
130,LITH03626751-WP-75,Dacite,Rock,70.04,25.1,52,0.0,0.0,Unknown,Karasjok,Karasjok,1.01,0.81,1.52,,,2.02,,50.7,,,6.59,,1.01,56.78,,2.02,14.19,319.0,6.59,,,,,,,0.00101,2.33,,0.00152,6.48,5.78,0.4,0.12,65.1,0.2,2.7,0.33,0.35,0.29,0.007410425,2.85,16.42,8.19,3.39
131,LITH03626751-BSD064-399.65A,Dacite,Rock,-30.39,121.63,376,-400.0,-400.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",,,,146.11,,,45.0,11.81,100.0,,,,,35.45,9.66,,,41.0,,431.88,801.46,,,,,,,,,,8.0,,0.13,71.93,0.04,4.24,0.32,0.22,2.22,0.00596679,1.81,15.86,1.68,1.48
132,LITH03626751-MC2103/5,Basalt,Rock,-28.45,120.98,426,0.0,0.0,Unknown,Mount Clifford/Marshall Pool,Mount Clifford dunite/gabbro complex,1.57,0.57,2.51,33.95,0.37,2.14,,142.18,100.0,0.54,1.87,,1.47,264.44,13.37,1.5,4.87,292.0,4.41,138.9,78.2,,0.22,0.82,0.22,0.0036,0.92,,0.00216,0.12,1.13,,0.04,48.25,0.12,17.68,0.62,0.94,0.04,0.04,7.66,14.3,0.26,9.98
133,LITH03626751-HWD03-119.65,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,77.0,156.0,9800.0,,,3201.51,,,,,,4440.0,,,,156.0,,,,,,,,,,,0.0,44.99,0.23,0.84,0.07,0.41,0.01,0.64,9.56,1.78,0.09,41.55
135,LITH03626751-LMCD005-193.0,Basalt,Rock,-28.49,121.08,454,-193.0,-193.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.7,0.25,1.14,16.55,0.17,1.07,,15.42,900.0,0.24,2.36,2302.87,0.68,112.36,4.73,0.86,5.2,2265.0,3.24,107.63,,,0.1,0.72,0.1,0.00626,0.47,,0.00709,0.35,0.59,,0.02,46.92,0.15,6.67,0.29,0.61,0.01,0.33,7.3,5.21,0.03,32.27
136,LITH03626751-LMCD005-271.0,Basalt,Rock,-28.49,121.08,454,-271.0,-271.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.78,0.19,1.29,13.65,0.18,1.06,,4.57,400.0,0.27,0.79,3019.24,0.71,97.87,5.69,0.76,2.18,1715.0,2.08,2.27,,,0.1,0.36,0.11,0.0033,0.45,,0.00159,0.1,0.56,,0.02,44.78,0.13,0.39,0.26,0.44,0.02,0.25,9.44,4.23,0.05,39.7
137,LITH03626751-WPU456-127.4,Dacite,Rock,-27.81,120.7,527,0.0,0.0,Unknown,Perseverance,,2.5,1.4,,199.33,0.7,4.2,7.11,22.37,86.45171,0.8,14.0,,2.5,63.05,22.37,3.9,30.0,60.0,16.5,552.23,187.12,5.08,0.4,,0.4,0.00261,,4.0,0.00099,,,,0.0,68.32,0.03,2.5,0.53,0.2,0.18,0.008769655,1.68,15.9,8.45,2.16
138,LITH03626751-BSD050-300.50,Dacite,Rock,-30.38,121.64,376,-300.0,-300.0,Unknown,Black Swan,"North of SS, lower felsics",0.86,0.69,1.45,102.61,0.23,1.69,75.0,30.27,1100.0,0.29,9.56,,0.9,283.37,13.99,2.04,20.4,468.0,9.56,368.49,515.43,30.27,0.15,2.5,0.12,,,,,1.63,,,0.1,54.83,0.13,8.47,0.98,0.97,2.25,0.06,7.91,19.54,2.0,2.69
139,LITH03626751-AMP-HM-120521-003E,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",2.97,1.2,4.84,109.19,0.73,4.53,97.75,117.52,100.0,1.08,14.66,0.0,2.73,224.63,24.75,3.56,31.09,249.0,16.22,239.91,426.79,57.77,0.39,3.8,0.43,,3.11,32.23,,2.84,6.75,0.93,0.16,51.68,0.18,8.42,1.22,1.27,0.99,0.03,10.36,15.19,3.87,6.58
140,LITH03626751-SXB04666,Basalt,Rock,-31.56,119.38,452,-56.0,-56.0,Unknown,Edwards Find,Edward Finds,,,,82.88,,,,57.15,,,,,,245.22,,,,488.0,,,,,,,,,,,,,,,0.08,54.12,0.18,10.0,0.75,1.04,0.15,0.07,8.5,13.85,2.94,8.26
141,LITH03626751-AMP-HM-120525-029D,Basalt,Rock,-22.61069,117.915245,857,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",3.9,1.49,6.39,176.13,1.01,5.9,82.26,21.43,42.22893,1.39,25.31,0.0,3.51,179.29,33.32,5.84,58.64,43.0,27.52,59.9,57.69,42.44,0.51,6.89,0.55,,4.85,30.58,,9.41,10.86,0.94,0.16,59.15,0.09,10.94,0.98,1.02,0.13,0.006328226,8.34,14.6,0.28,4.25
142,LITH03626751-BSD082-740.20,Dacite,Rock,-30.39,121.63,376,-740.0,-740.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",,,,155.81,,,41.0,25.85,1600.0,,,,,56.26,15.14,,,37.0,,366.81,568.07,24.78,,,,,,,,,15.0,,0.13,71.13,0.02,5.37,0.54,0.18,1.82,0.005376911,1.53,16.64,2.02,0.54
143,LITH03626751-CBD055-244.15,Andesite,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),,,,87.0,,,126.0,122.0,12000.0,,,,,319.0,23.0,,,141.0,,89.0,1013.0,102.0,,,,,,,,,,,0.0,59.43,0.28,10.3,1.37,0.28,2.2,0.02,2.29,17.89,2.21,4.33
146,LITH03626751-AMP-HM-120524-020G,Basalt,Rock,-21.396624,117.15474,329,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.77,1.34,5.54,144.8,0.92,5.51,87.29,81.67,100.0,1.32,28.85,0.0,3.48,194.1,30.91,5.36,55.97,84.0,25.36,197.69,451.06,49.92,0.54,6.43,0.53,,4.51,30.81,,8.33,9.24,0.92,0.13,60.87,0.1,7.42,0.94,0.76,1.61,0.01,6.23,14.83,2.95,4.11
147,LITH03626751-HWD38-252.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,61.0,18500.0,,,3783.02,,,,,,2089.0,,,,,,,,,,,,,,,0.0,45.82,0.04,0.23,0.04,0.05,0.08,0.3,3.27,0.86,0.05,47.37
151,LITH03626751-BSD043a-344.72,Dacite,Rock,-30.39,121.63,376,-345.0,-345.0,Unknown,Black Swan,"Cygnet, lower felsics",0.86,0.7,1.38,117.21,0.23,1.93,41.0,75.11,700.0,0.26,16.58,,0.9,138.22,14.37,2.59,38.7,72.0,16.03,735.36,481.02,25.4,0.2,4.2,0.14,,,,,3.26,,,0.05,66.96,0.14,5.34,0.74,0.64,0.77,0.01,5.21,15.27,1.82,3.0
154,LITH03626751-MKD16-1095,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,,,,35.0,10.0,55.00876,,,329.08,,,,,,170.0,,,0.0,,,,,,,,,,,,0.0,52.87,0.16,3.38,0.43,0.7,0.43,0.02,5.7,19.09,6.81,10.35
155,LITH03626751-WP-71,Basalt,Rock,68.63,21.91,603,0.0,0.0,Unknown,Sarvisoaivi,Sarvisoaivi,1.53,0.41,2.05,,,,,153.88,1200.0,,2.05,296.35,1.02,201.06,,1.02,4.61,470.0,3.59,,,,,,,0.00769,0.51,,0.00769,0.15,1.33,,0.04,49.75,0.2,11.69,0.53,1.1,0.33,0.02,8.97,15.59,1.75,10.04
157,LITH03626751-SXB04751,Basalt,Rock,-31.49,119.52,433,0.0,0.0,Unknown,Marvel Loch,Target 33,1.49,0.69,2.66,39.4,0.42,2.55,68.47,42.91,,0.53,4.47,896.41,1.43,250.53,,1.91,9.9,3141.0,6.6,,,96.69,0.19,1.4,0.21,0.08415,0.0,,0.02503,0.85,4.26,0.0,0.00958754,50.3,0.37,10.24,0.47,1.44,0.07,0.45,11.73,7.35,0.49,16.93
158,LITH03626751-AMP-HM-120524-021D,Basalt,Rock,-21.387573,117.15229,333,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",2.71,0.95,4.07,108.93,0.64,3.78,239.22,131.18,21.38369,0.89,14.41,0.0,2.46,177.28,24.56,3.44,32.67,110.0,16.33,26.91,43.57,43.08,0.39,3.97,0.37,,2.99,25.63,,5.69,6.62,0.74,0.1,58.57,0.16,9.75,0.7,1.09,0.04,0.01,8.83,15.59,0.14,4.97
160,LITH03626751-BSD090-571.90,Dacite,Rock,-30.39,121.63,376,-572.0,-572.0,Unknown,Black Swan,"Cygnet, Silver Swan-Cygnet",1.27,5.82,5.6,294.39,1.27,14.01,83.0,39.9,,0.69,156.36,828.13,0.75,70.09,25.88,24.8,334.29,260.0,161.75,124.01,114.3,28.04,0.11,42.05,0.16,,,,,19.94,,,1.13,60.41,0.02,1.84,1.13,0.54,0.07,0.03,4.4,14.2,0.02,16.16
162,LITH03626751-Fort2015-94760,Rhyolite,Rock,-21.75,121.3,356,0.0,0.0,Unknown,Hamersley Basin North,,6.72,1.27,11.06,350.16,,11.57,68.0,0.0,0.0,2.23,110.63,0.0,6.51,3.04,55.82,14.61,213.14,0.0,86.17,41.61,0.0,55.83,0.97,,,,,3.04,,21.31,23.34,,0.02,79.97,0.04,0.06,0.25,0.24,4.46,0.0,1.98,11.36,1.43,0.15
163,LITH03626751-HWD26A-260.60,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,79.0,477.0,11600.0,,,3527.55,,,,,,1247.0,,,,221.0,,,,,,,,,,,0.0,46.43,0.13,1.89,0.24,0.06,0.12,0.18,2.4,2.59,0.02,44.83
164,LITH03626751-1-052.30,Andesite,Rock,-32.14,119.79,407,0.0,0.0,Unknown,Mount Hope,,,,,87.0,,,75.0,14.0,0.0,,,,,273.0,25.0,,,,,150.0,441.0,20.0,,,,,,,,,,,0.0,57.38,0.1,7.36,1.1,1.3,0.16,0.0,10.54,12.71,5.23,4.08
165,LITH03626751-21609/B,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,79.94,80.16,52.56491,,,638.22,,,,,,809.0,,,0.0,,,,,,,,,,,,0.0,50.64,0.17,9.44,0.57,1.22,0.08,0.11,9.9,11.0,2.93,13.83
167,LITH03626751-FOD2-153,Basalt,Rock,-32.27,119.74,426,0.0,0.0,Unknown,Antimony Nickel,Central,1.4,0.4,2.7,37.0,0.2,1.8,32.0,,0.0,0.4,2.3,,1.6,216.0,16.0,1.5,7.6,138.0,5.8,417.0,60.0,36.0,0.2,1.1,0.1,,,,,0.3,,,0.0,53.16,0.12,11.18,0.72,0.83,0.22,0.02,6.76,15.1,3.35,8.47
168,LITH03626751-LMCD005-314.1,Basalt,Rock,-28.49,121.08,454,-342.0,-342.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.4,0.13,0.65,6.95,0.09,0.55,,77.96,600.0,0.13,0.61,3050.78,0.39,73.05,3.47,0.41,1.6,1720.0,1.26,30.14,,,0.06,0.24,0.05,0.02494,0.23,,0.01422,,0.34,,0.01,44.25,0.17,2.98,0.16,0.36,0.01,0.25,7.98,3.47,0.04,40.02
169,LITH03626751-BD01-083.25,Basalt,Rock,-32.5,119.68,393,0.0,0.0,Unknown,Boojum,"Western, U1",,,,35.0,,,82.0,169.0,400.0,,,389.38,,246.0,22.0,,,415.0,,110.0,2.0,83.0,,,,,,,,,,,0.0,52.26,0.23,12.84,0.8,1.07,0.14,0.06,8.74,11.74,0.93,11.12
170,LITH03626751-SXB04730,Rhyolite,Rock,-31.07,119.16,407,0.0,0.0,Unknown,Bullfinch,Target 07,0.52,0.15,0.68,0.0,0.1,0.63,,25.44,,0.16,1.26,,0.57,23.59,,0.31,2.0,1600.0,1.26,,,110.26,0.08,0.31,0.08,0.06319,0.0,,0.02633,0.73,,0.0,0.02,72.81,0.08,0.16,0.02,2.71,0.07,0.23,22.0,0.88,0.05,0.76
172,LITH03626751-SXB04774,Rhyolite,Rock,-31.45,119.48,414,-69.0,-69.0,Unknown,Marvel Loch,SONS OF GWALIA LTD,0.99,0.41,1.77,23.22,0.31,1.67,100.89,,,0.35,8.79,,0.94,58.6,,1.72,20.19,4261.0,7.37,,,51.18,0.12,2.17,0.14,,0.0,,,2.82,8.37,0.0,0.006279243,85.64,0.02,0.09,0.3,0.39,0.03,0.62,3.22,6.99,0.14,2.4
174,LITH03626751-AMP-HM-120523-019C,Basalt,Rock,-22.442804,117.80739,657,0.0,0.0,Unknown,Railroad,"North of Tom Price Syncline, South Hamersley Basin",3.09,1.57,5.0,135.11,0.82,4.97,98.73,61.68,100.0,1.12,26.5,0.0,2.8,196.43,26.39,4.92,52.9,92.0,24.0,45.41,246.73,44.1,0.45,6.17,0.43,,4.15,28.06,,7.5,8.73,0.93,0.07,60.7,0.11,7.15,0.78,0.99,1.08,0.01,8.07,14.83,0.7,5.46
175,LITH03626751-BSD027-554.60iv,Dacite,Rock,-30.39,121.64,374,0.0,0.0,Unknown,Black Swan,"Silver Swan, lower felsics",1.14,4.4,4.52,245.71,1.02,11.49,34.0,42.78,200.0,0.56,117.35,,0.68,74.56,20.78,18.94,250.6,213.0,122.24,535.43,547.66,26.89,0.09,30.56,0.13,,,,,16.5,,,0.85,55.25,0.07,14.3,0.89,0.49,1.46,0.03,4.04,14.46,1.58,6.52
177,LITH03626751-AMP-HM-120520-003A,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.66,1.55,5.19,109.25,0.8,4.87,95.87,76.12,33.48684,1.24,9.03,0.0,3.19,253.07,28.31,3.72,17.05,336.0,13.26,50.5,60.98,43.53,0.49,2.82,0.54,,3.01,33.44,,1.89,6.35,0.78,0.21,53.03,0.18,8.91,1.48,1.17,0.21,0.04,9.52,14.77,3.24,7.22
183,LITH03626751-AMP-HM-120524-020C,Basalt,Rock,-21.396515,117.1547,329,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.22,1.17,5.0,125.64,0.76,4.56,87.22,80.11,100.0,1.1,21.39,0.0,2.91,188.99,26.06,4.15,43.19,107.0,19.83,162.71,280.47,50.18,0.48,5.11,0.42,,3.73,29.07,,6.97,8.09,0.83,0.09,55.44,0.11,9.13,0.8,0.99,0.86,0.01,8.07,16.14,2.85,5.46
185,LITH03626751-AMP-HM-120521-003J,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.0,0.85,4.67,111.78,0.78,4.32,150.47,46.15,53.79229,1.04,6.77,0.0,2.84,240.76,24.61,3.1,16.66,324.0,11.71,28.16,26.22,30.01,0.42,2.52,0.45,,3.22,33.32,,1.88,6.23,0.75,0.2,58.36,0.09,2.78,1.49,0.97,0.12,0.04,7.93,15.97,5.28,6.75
186,LITH03626751-BSD080-301.85,Dacite,Rock,-30.38,121.64,376,-302.0,-302.0,Unknown,Black Swan,"North of SS, lower felsics",0.87,0.87,1.81,67.11,0.29,2.29,49.0,24.5,,0.3,21.3,,0.76,68.17,14.91,2.98,41.54,35.0,17.04,371.77,302.53,18.11,0.14,4.47,0.12,,,,,3.51,,,0.14,71.6,0.05,3.5,0.58,0.2,1.42,0.00513787,1.64,17.99,2.15,0.68
187,LITH03626751-BSD091B-505.70A,Dacite,Rock,-30.39,121.63,376,-506.0,-506.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",1.3,2.44,3.26,163.36,0.65,6.52,47.0,43.67,5700.0,0.5,69.9,,1.07,107.18,16.31,11.18,137.47,184.0,62.91,234.54,318.05,24.13,0.16,16.31,0.18,,,,,16.89,,,0.25,64.36,0.18,8.55,0.6,0.38,1.57,0.02,3.09,14.78,1.36,4.69
190,LITH03626751-SXB04734,Basalt,Rock,-30.99,119.1,360,-61.0,-61.0,Unknown,Bullfinch,"Target 03, SONS OF GWALIA LTD",1.39,0.88,2.47,45.76,0.41,2.68,57.97,16.52,,0.55,6.18,,1.23,98.13,,2.31,5.05,515.0,9.27,,,57.28,0.18,2.28,0.18,0.13916,0.0,,0.11339,0.51,0.51,0.0,0.007216014,53.71,0.15,10.72,0.19,0.89,0.43,0.07,7.28,14.74,2.05,9.7
192,LITH03626751-AMP-HM-120521-005,Basalt,Rock,-22.963554,117.43072,430,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.25,0.44,2.1,47.24,0.31,1.91,100.12,34.64,100.0,0.42,4.38,0.0,1.18,115.87,11.02,1.48,9.78,5111.0,6.18,8.54,15.97,133.25,0.21,1.25,0.16,,1.46,15.74,,0.79,2.24,0.56,0.08,45.55,0.17,3.12,0.47,0.95,0.1,0.74,11.24,5.57,0.24,32.2
194,LITH03626751-23296,Basalt,Rock,-30.19,121.82,365,0.0,0.0,Unknown,Binti Binti,Central traverse,,,,56.9,,,117.0,36.0,,,,,,218.46,18.29,,,616.0,,137.17,101.0,39.0,,,,,,,,,,,0.06,52.78,0.27,14.13,0.72,1.09,0.16,0.09,8.79,14.78,1.5,5.64
196,LITH03626751-AMP-HM-120528-046,Basalt,Rock,-22.957626,117.418304,416,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",3.94,1.65,6.08,129.49,0.9,5.38,105.47,62.11,31.36919,1.34,13.57,0.0,3.47,223.47,33.73,4.58,29.44,164.0,18.58,138.99,97.53,46.94,0.51,4.06,0.59,,3.75,30.28,,2.52,6.16,0.41,0.19,53.3,0.15,8.04,1.12,1.27,0.29,0.02,10.3,15.01,2.95,7.33
197,LITH03626751-LMCD005-286.8,Basalt,Rock,-28.49,121.08,454,-287.0,-287.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.82,0.22,1.29,17.74,0.18,1.1,,10.04,100.0,0.27,0.93,2294.44,0.79,140.86,6.65,0.77,2.61,2729.0,2.25,7.76,,,0.12,0.42,0.11,0.00687,0.55,,0.00709,0.11,0.66,,0.02,45.27,0.16,4.39,0.34,0.78,0.02,0.39,9.29,6.85,0.07,32.18
198,LITH03626751-BSD092-573.75B,Dacite,Rock,-30.38,121.64,376,-574.0,-574.0,Unknown,Black Swan,"North of SS, lower felsics",,,,119.79,,,73.0,186.76,200.0,,,,,192.1,16.18,,,185.0,,421.99,429.54,21.59,,,,,,,,,10.0,,0.12,58.64,0.07,3.43,1.34,0.79,1.5,0.02,6.4,24.49,1.97,1.17
199,LITH03626751-AMP-HM-120527-030B,Basalt,Rock,-22.794325,117.85576,668,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",2.65,1.03,3.83,82.44,0.61,3.42,69.92,48.76,100.0,0.88,7.93,0.0,2.31,202.46,21.6,2.71,17.74,593.0,10.64,329.15,284.49,44.38,0.37,2.38,0.39,,2.19,30.26,,1.32,4.27,0.41,0.12,51.95,0.14,9.3,1.0,0.98,1.14,0.08,7.96,16.2,2.04,9.1
200,LITH03626751-SXB04756,Andesite,Rock,-31.49,119.52,433,-18.0,-18.0,Unknown,Marvel Loch,Target 33,4.14,1.58,7.21,143.88,1.07,6.34,49.34,114.81,,1.43,25.17,,3.99,189.13,,5.93,48.61,70.0,24.46,,,42.64,0.55,6.05,0.61,,0.0,,,4.29,8.18,0.0,0.16,61.98,0.17,5.07,1.11,1.38,1.03,0.01,11.19,12.69,2.49,2.67
201,LITH03626751-BSD101-580.90,Dacite,Rock,-30.39,121.65,368,-581.0,-581.0,Unknown,Black Swan,"Southern flank, lower felsics",,,,150.04,,,44.0,11.78,100.0,,,,,62.15,12.86,,,35.0,,281.86,452.26,12.86,,,,,,,,,14.0,,0.13,72.96,0.03,4.54,0.52,0.21,0.78,0.005168999,1.77,15.67,2.45,0.88
205,LITH03626751-BSD063-266.50,Dacite,Rock,-30.39,121.63,376,-266.0,-266.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,144.75,,,4.0,2.16,,,,,,49.69,11.88,,,48.0,,260.33,574.68,6.48,,,,,,,,,,,0.26,67.06,0.03,4.86,0.72,0.22,2.09,0.006946778,1.79,15.97,4.63,2.32
206,LITH03626751-CFBD2-139,Basalt,Rock,-32.48,119.72,411,0.0,0.0,Unknown,Central Belt Forrestania,Central,0.9,0.7,1.5,21.0,0.2,1.1,34.0,,100.0,0.3,2.2,708.18,1.1,148.0,10.0,1.5,4.4,2993.0,2.6,55.0,388.0,56.0,0.2,0.6,0.1,,,,,0.3,,,0.0,49.44,0.08,5.16,0.4,2.15,1.49,0.43,17.45,7.46,0.95,14.79
210,LITH03626751-AMP-HM-120522-006F,Basalt,Rock,-22.923315,117.36772,437,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",3.34,1.8,5.13,102.31,0.8,4.8,82.48,59.69,31.36519,1.19,11.06,0.0,3.01,215.07,29.12,3.7,24.95,800.0,14.72,162.66,1363.43,51.33,0.46,3.4,0.45,,2.92,28.18,,1.93,5.11,0.52,0.16,55.63,0.18,6.52,1.04,1.1,2.99,0.11,8.95,11.88,0.79,10.67
211,LITH03626751-AMP-HM-120520-001B,Basalt,Rock,-22.716528,117.81868,746,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",2.06,0.76,3.26,40.24,0.45,2.76,94.25,109.45,2300.0,0.72,3.17,0.0,1.85,252.06,16.73,1.87,8.36,319.0,6.24,180.99,145.83,52.72,0.3,1.24,0.32,,1.27,40.24,,0.27,2.54,0.52,0.06,49.87,0.21,9.48,0.91,1.29,0.54,0.04,10.48,16.2,2.54,8.51
212,LITH03626751-SXB04720,Andesite,Rock,-31.54,119.58,432,-48.0,-48.0,Unknown,Great Victoria Gold,"Target 20, SONS OF GWALIA LTD",4.04,3.57,8.5,85.49,1.62,11.13,708.99,361.97,,1.55,40.65,,3.83,223.53,,12.6,68.49,65.0,54.73,,,80.25,0.52,12.92,0.63,,0.0,,0.00525,2.52,3.15,0.0,0.04,56.63,0.15,5.03,0.74,1.32,0.49,0.009454838,10.72,17.01,3.52,4.27
213,LITH03626751-WAM024-248,Basalt,Rock,-27.83,120.72,506,0.0,0.0,Unknown,Perseverance,PU South,0.74,0.11,,,0.14,0.81,182.07,78.32,100.0,0.22,0.46,884.35,0.76,,,0.54,1.38,1457.0,1.38,,0.0,104.43,0.11,0.23,0.1,0.01223,,,0.02237,,,,0.0,45.36,0.26,11.23,0.6,1.46,0.26,0.21,11.86,11.02,1.11,16.54
215,LITH03626751-BSD015-203.50,Dacite,Rock,-30.39,121.63,376,-204.0,-204.0,Unknown,Black Swan,Silver Swan,0.52,1.16,1.39,131.11,0.27,2.74,29.0,17.19,,0.21,37.61,,0.42,38.68,10.74,4.29,73.08,48.0,29.55,149.38,1988.22,9.67,0.06,8.38,0.08,,,,,6.44,,,0.13,68.79,0.08,3.68,0.4,0.23,3.64,0.00706832,1.93,16.21,0.56,4.28
217,LITH03626751-BSD086-181.80,Dacite,Rock,-30.39,121.63,376,-182.0,-182.0,Unknown,Black Swan,"Southern flank, Southern flank",0.58,0.19,0.89,41.39,0.13,0.69,217.0,64.0,200.0,0.17,1.26,,0.6,235.28,13.07,0.47,2.66,6705.0,1.74,31.59,362.0,133.0,0.1,0.35,0.08,,,,,0.27,,,0.01,56.32,0.2,1.64,0.64,1.62,1.32,0.98,13.14,15.72,0.05,8.39
218,LITH03626751-23298,Dacite,Rock,-30.19,121.82,365,0.0,0.0,Unknown,Binti Binti,Southern traverse,,,,148.7,,,61.0,12.0,,,,,,104.19,19.22,,,68.0,,236.7,156.0,13.0,,,,,,,,,,,0.14,63.12,0.15,7.79,0.77,0.6,0.08,0.01,4.87,14.7,4.63,3.15
